product_id,category,sub_category,sub_sub_category,main_color,image_one
385,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/4/_/4_1_5.jpg
385,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/4/_/4_1_5.jpg
385,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/4/_/4_1_5.jpg
385,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/4/_/4_1_5.jpg
428,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_1.jpg
428,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_1.jpg
428,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_1.jpg
451,Women,Dresses,NULL,Silver,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_1_6.jpg
451,Women,Dresses,NULL,Silver,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_1_6.jpg
451,Women,Dresses,NULL,Silver,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_1_6.jpg
455,Women,Dresses,NULL,"8,61,850",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_1_7.jpg
455,Women,Dresses,NULL,"8,61,850",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_1_7.jpg
455,Women,Dresses,NULL,"8,61,850",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_1_7.jpg
455,Women,Dresses,NULL,"8,61,850",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_1_7.jpg
467,Women,Dresses,NULL,Red,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_4.jpg
467,Women,Dresses,NULL,Red,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_4.jpg
467,Women,Dresses,NULL,Red,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_4.jpg
491,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_10.jpg
491,Women,Dresses,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_10.jpg
509,Women,Two Piece Set,NULL,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_3_4.jpg
566,Women,"Jumpsuits, Playsuits And Rompers",NULL,"8,60,853",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_26.jpg
566,Women,"Jumpsuits, Playsuits And Rompers",NULL,"8,60,853",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_26.jpg
566,Women,"Jumpsuits, Playsuits And Rompers",NULL,"8,60,853",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_26.jpg
566,Women,"Jumpsuits, Playsuits And Rompers",NULL,"8,60,853",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_26.jpg
579,Women,"Jumpsuits, Playsuits And Rompers",NULL,Brown,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_28.jpg
579,Women,"Jumpsuits, Playsuits And Rompers",NULL,Brown,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_28.jpg
579,Women,"Jumpsuits, Playsuits And Rompers",NULL,Brown,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_2_28.jpg
625,Women,Dresses,NULL,"8,61,853",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_3_13.jpg
625,Women,Dresses,NULL,"8,61,853",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_3_13.jpg
625,Women,Dresses,NULL,"8,61,853",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/1/_/1_3_13.jpg
681,Women,Shirts,NULL,White,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14822_1.jpg
681,Women,Shirts,NULL,White,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14822_1.jpg
681,Women,Shirts,NULL,White,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14822_1.jpg
681,Women,Shirts,NULL,White,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14822_1.jpg
681,Women,Shirts,NULL,White,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14822_1.jpg
681,Women,Shirts,NULL,White,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14822_1.jpg
688,Women,Dresses,NULL,"8,59,853",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14927_1.jpg
702,Women,Coats And Jackets,Jackets,"8,51,847",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/m/f/mfluluslls14840_3.jpg
702,Women,Coats And Jackets,Jackets,"8,51,847",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/m/f/mfluluslls14840_3.jpg
710,Women,Dresses,NULL,"8,51,847",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14854_1.jpg
710,Women,Dresses,NULL,"8,51,847",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14854_1.jpg
726,Women,Tops,NULL,"8,61,847",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14923_1.jpg
726,Women,Tops,NULL,"8,61,847",https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/l/l/lls14923_1.jpg
728,Women,Jeans And Trousers,Leggings,Black,https://d1it09c4puycyh.cloudfront.net/355x503/catalog/product/m/f/mfluluslls14841_2.jpg
